english,tag,definition
TV,noun,1. television 2. being broadcast by television; appearing in a television programme
Thursday,noun,the day of the week after Wednesday and before Friday
Tuesday,noun,the day of the week after Monday and before Wednesday
Wednesday,noun,the day of the week after Tuesday and before Thursday
about,adverb,1. a little more or less than; a little before or after 2. nearly; very close to
about,preposition,1. on the subject of somebody/something; in connection with somebody/something 2. used to describe the purpose or an aspect of something
above,adverb,"1. at or to a higher place 2. greater in number, level or age"
above,preposition,"1. at or to a higher place or position than something/somebody 2. more than something; greater in number, level or age than somebody/something"
across,adverb,1. from one side to the other side 2. in a particular direction towards or at somebody/something
across,preposition,1. from one side to the other side of something 2. on the other side of something
action,noun,1. the process of doing something in order to make something happen or to deal with a situation 2. a thing that somebody does
activity,noun,1. a thing that you do for interest or pleasure 2. a thing that somebody does in order to achieve a particular aim
actor,noun,"1. a person who performs on the stage, on television or in films, especially as a profession 2. a person who plays a part, pretending by their behaviour to be a particular kind of person"
actress,noun,"1. a woman who performs on the stage, on television or in films, especially as a profession 2. a woman who plays a part, pretending by her behaviour to be a particular kind of person"
add,verb,"1. to put something together with something else so as to increase the size, number, amount, etc. 2. to put numbers or amounts together to get a total"
address,noun,"1. details of where somebody lives or works and where letters, etc. can be sent 2. a series of words and symbols that tells you where you can find something using a computer or phone, for example on the internet"
adjective,noun,"a word that describes a person or thing, for example big, blue and clever in a big house, blue sky and a clever idea"
adult,noun,1. a fully grown person who is legally responsible for their actions 2. a fully grown animal
adverb,noun,"a word that adds more information about place, time, manner, cause or degree to a verb, an adjective, a phrase or another adverb"
advice,noun,an opinion or a suggestion about what somebody should do in a particular situation
afraid,adjective,1. feeling fear; frightened because you think that you might be hurt or suffer 2. worried about what might happen
after,preposition,1. later than something; following something in time 2. next to and following somebody/something in order or importance
afternoon,noun,the period of time from 12 o'clock in the middle of the day until about 6 o’clock in the evening
again,adverb,1. one more time; on another occasion 2. showing that somebody/something is in the same place or state that they were in originally
age,noun,1. the number of years that a person has lived or a thing has existed 2. a very long time
ago,adverb,used in expressions of time with the simple past tense to show how far in the past something happened
agree,verb,1. to have the same opinion as somebody; to say that you have the same opinion 2. to approve of something because you think it is morally right
air,noun,1. the mixture of gases that surrounds the earth and that we breathe 2. the space above the ground or that is around things
airplane,noun,a flying vehicle with wings and one or more engines
airport,noun,"1. a place where planes land and take off and that has buildings for passengers to wait in 2. used to describe novels that are popular and easy to read, often bought by people at airports"
all,,the whole number of
alphabet,noun,a set of letters or symbols in a fixed order used for writing a language
also,adverb,in addition; too
always,adverb,1. at all times; on every occasion 2. for a long time; since you can remember
amazing,adjective,"1. very surprising, especially in a way that you like or admire 2. very impressive; excellent"
and,conjunction,1. also; in addition to 2. then; following this
angry,adjective,"1. having strong feelings about something that you dislike very much or about an unfair situation 2. red and painful, usually because of an infection"
animal,noun,"1. a creature that is not a bird, a fish, a reptile, an insect or a human 2. any living thing that is not a plant or a human"
another,,one more; an extra thing or person
answer,verb,"1. to say, write or do something as a reaction to a question or situation 2. to defend yourself against a charge or criticism"
answer,noun,"1. something that you say, write or do to react to a question or situation 2. something that you write or say in reply to a question in a test, an exam, an exercise, etc.; the correct reply to a question in a test, etc."
any,,"used with uncountable or plural nouns in negative sentences and questions, after if or whether, and after some verbs such as prevent, ban, forbid, etc. to refer to an amount or a number of something, however large or small"
anyone,,"used instead of someone in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc."
anything,,"used instead of something in negative sentences and in questions; after if/whether; and after verbs such as prevent, ban, avoid, etc."
apartment,noun,"1. a set of rooms for living in, usually on one floor of a building 2. a set of rooms used for a holiday"
apple,noun,1. a round fruit with shiny red or green skin that is fairly hard and white inside 2. a child usually behaves in a similar way to his or her parent(s)
area,noun,"1. part of a place, town, etc., or a region of a country or the world 2. a part of a room, building or particular space that is used for a special purpose"
arm,noun,1. either of the two long parts that stick out from the top of the body and connect the shoulders to the hands 2. the part of a piece of clothing that covers the arm
around,adverb,1. approximately 2. on every side; surrounding somebody/something
around,preposition,"1. surrounding somebody/something; on each side of something 2. on, to or from the other side of somebody/something"
arrive,verb,"1. to get to a place, especially at the end of a journey 2. to be brought to somebody"
art,noun,"1. the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture  2. examples of objects such as paintings, drawings or sculptures"
article,noun,"1. a piece of writing about a particular subject in a newspaper or magazine, on a website, etc. 2. a separate item in an agreement or a contract"
artist,noun,"1. a person who creates works of art, especially paintings or drawings 2. a person who is a professional singer, dancer, actor, etc."
as,preposition,1. used to describe somebody/something appearing to be somebody/something else 2. used to describe the fact that somebody/something has a particular job or function
ask,verb,"1. to say or write something in the form of a question, in order to get information 2. to tell somebody that you would like them to do something or that you would like something to happen"
at,preposition,1. used to say where something/somebody is or where something happens 2. used to say where somebody works or studies
aunt,noun,"1. the sister of your father or mother; the wife of your uncle or aunt 2. used by children, with a first name, to address a woman who is a friend of their parents"
autumn,noun,"the season of the year between summer and winter, when leaves change colour and the weather becomes colder"
away,adverb,1. to or at a distance from somebody/something in space or time 2. to a different place or in a different direction
baby,noun,1. a very young child or animal 2. the youngest member of a family or group
back,noun,"1. the part of the human body that is on the opposite side to the chest, between the neck and the tops of the legs; the part of an animal’s body that corresponds to this 2. the row of bones in the middle of the back"
back,adverb,"1. to or into the place, condition, situation or activity where somebody/something was before 2. away from the front or centre; behind you"
bad,adjective,1. unpleasant; full of problems 2. of poor quality; below an acceptable standard
bag,noun,"1. a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling 2. a bag or case that you take when you are travelling; a piece of luggage"
ball,noun,"1. a round object used for throwing, hitting or kicking in games and sports 2. a round object or a thing that has been formed into a round shape"
banana,noun,"1. a long curved fruit with a thick yellow skin and that is soft inside, which grows on trees in hot countries 2. to become angry, crazy or silly"
band,noun,"1. a small group of musicians who play popular music together, often with a singer or singers 2. a group of musicians who play brass and percussion instruments"
bank,noun,"1. an organization that provides various financial services, for example keeping or lending money 2. a supply of money or things that are used as money in some games, especially those in which gambling is involved"
banknote,noun,a piece of paper money
bath,noun,"1. a large, long container that you put water in and then get into to wash your whole body 2. an act of washing your whole body by sitting or lying in water"
bathroom,noun,"1. a room in which there is a bath, a washbasin and often a toilet 2. a room in which there is a toilet, a sink and sometimes a bath or shower"
be,verb,"1. used when you are naming people or things, describing them or giving more information about them 2. used when you are describing a situation or saying what you think about it"
beach,noun,"an area of sand or small stones (called shingle), next to the sea or a lake"
beautiful,adjective,1. having beauty; giving pleasure to the senses or to the mind 2. very good; very kind or showing great skill
because,conjunction,for the reason that
become,verb,1. to start to be something 2. to be suitable for somebody
bed,noun,"1. a piece of furniture for sleeping on 2. the bottom of a river, the sea, etc."
bedroom,noun,1. a room for sleeping in 2. having the number of bedrooms mentioned
beer,noun,"1. an alcoholic drink made from malt with hops added to give it taste. There are many types of beer. 2. a glass, bottle or can of beer"
before,preposition,1. earlier than somebody/something 2. used to say that somebody/something is ahead of somebody/something in an order or arrangement
begin,verb,"1. to start doing something; to do the first part of something 2. to start to happen or exist, especially from a particular time"
beginning,noun,"1. the time when something starts; the first part of an event, a story, etc. 2. the first or early ideas, signs or stages of something"
behind,adverb,1. at or towards the back of somebody/something; further back 2. in the place where somebody/something is or was
behind,preposition,"1. at or towards the back of somebody/something, and often hidden by it or them 2. making less progress than somebody/something"
believe,verb,"1. to feel certain that something is true or that somebody is telling you the truth 2. to think that something is true or possible, although you are not completely certain"
below,adverb,"1. at or to a lower level, position or place 2. at a lower rank"
below,preposition,1. at or to a lower level or position than somebody/something 2. of a lower amount or standard than somebody/something
best,adjective,1. of the most excellent type or quality 2. giving most pleasure; happiest
better,adjective,1. of a higher standard or less poor quality; not as bad as something else 2. more suitable or appropriate
between,preposition,"1. in or into the space separating two or more points, objects, people, etc. 2. in the period of time that separates two days, years, events, etc."
bicycle,noun,a road vehicle with two wheels that you ride by pushing the pedals with your feet
big,adjective,"1. large in size, degree, amount, etc. 2. older"
bike,noun,1. a bicycle 2. a motorcycle
bill,noun,1. a document that shows how much you owe somebody for goods or services 2. a piece of paper that shows how much you have to pay for the food and drinks that you have had in a restaurant
bird,noun,"1. a creature that is covered with feathers and has two wings and two legs. Most birds can fly. 2. a person of a particular type, especially somebody who is strange or unusual in some way"
birthday,noun,1. the day in each year which is the same date as the one on which you were born 2. not wearing any clothes
black,adjective,"1. having the very darkest colour, like coal or the sky at night 2. without light; completely dark"
black,noun,"1. the very darkest colour, like night or coal 2. a member of a group of people who have dark skin, especially people who come from or whose ancestors came from Africa"
blog,noun,"a website where an individual person, or people representing an organization, write regularly about recent events or topics that interest them, usually with photos and links to other websites that they find interesting"
blonde,adjective,1. pale gold in colour 2. having blonde hair
blue,noun,1. the colour of a clear sky or the sea on a clear day 2. a person who has played a particular sport for Oxford or Cambridge University; a title given to them
blue,adjective,1. having the colour of a clear sky or the sea on a clear day 2. looking slightly blue in colour because the person is cold or cannot breathe easily
boat,noun,"1. a vehicle (smaller than a ship) that travels on water, moved by oars, sails or a motor 2. any ship"
body,noun,"1. the whole physical structure of a human or an animal 2. the main part of a body not including the head, or not including the head, arms and legs"
book,noun,1. a set of printed pages that are fastened inside a cover so that you can turn them and read them 2. a written work published in printed or electronic form
boot,noun,"1. a strong shoe that covers the foot and ankle and often the lower part of the leg 2. the space at the back of a car that you put bags, cases, etc. in"
bored,adjective,1. feeling tired and impatient because you have lost interest in somebody/something or because you have nothing to do 2. to be extremely frightened or bored
boring,adjective,not interesting; making you feel tired and impatient
born,verb,1. to come out of your mother’s body at the beginning of your life 2. to start to exist
both,,used with plural nouns to mean ‘the two’ or ‘the one as well as the other’
bottle,noun,"1. a glass or plastic container, usually round with straight sides and a narrow neck, used especially for storing liquids 2. the amount contained in a bottle"
box,noun,"1. a container made of wood, thick card, metal, etc. with a flat stiff base and sides and often a lid (= cover), used especially for holding solid things 2. a box and its contents; the things a box contains"
boy,noun,1. a male child or a young male person 2. a young son
boyfriend,noun,a man or boy that somebody has a romantic or sexual relationship with
bread,noun,"1. a type of food made from flour, water and usually yeast mixed together and baked 2. money"
break,verb,"1. to be damaged and separated into two or more parts, as a result of force; to damage something in this way 2. to stop working as a result of being damaged; to damage something and stop it from working"
break,noun,"1. a short period of time when you stop what you are doing and rest, eat, etc. 2. a period of time between lessons at school"
breakfast,noun,1. the first meal of the day 2. a thing that has been done badly
bring,verb,1. to come to a place with somebody/something 2. to give or provide somebody/something with something
brother,noun,"1. a boy or man who has the same parents as another person 2. used for talking to or talking about other male members of an organization or other men who have the same ideas, purpose, etc. as yourself"
brown,adjective,1. having the colour of earth or coffee 2. having skin that is naturally brown or has been made brown by the sun
brown,noun,the colour of earth or coffee
build,verb,"1. to make something, especially a building, by putting parts together 2. to create or develop something"
building,noun,1. a structure such as a house or school that has a roof and walls 2. the process and work of building
bus,noun,"1. a large road vehicle that carries passengers, especially one that travels along a fixed route and stops regularly to let people get on and off 2. a set of wires that carries information from one part of a computer system to another"
business,noun,"1. the activity of making, buying, selling or supplying goods or services for money 2. work that is part of your job"
busy,adjective,1. having a lot to do; perhaps not free to do something else because you are working on something 2. giving all your attention and effort to a particular activity
but,conjunction,1. used to introduce a word or phrase that contrasts with what was said before 2. however; despite this
butter,noun,"1. a soft yellow food made from cream, used in cooking and for spreading on bread 2. used to say that somebody seems to be innocent, kind, etc. when they are not really"
buy,verb,1. to obtain something by paying money for it 2. to be enough to pay for something
by,preposition,1. used for showing how or in what way something is done 2. near somebody/something; at the side of somebody/something; next to somebody/something
bye,exclamation,goodbye
cafe,noun,"1. a place where you can buy drinks and simple meals. Alcohol is not usually served in British or American cafes. 2. a small shop that sells sweets, newspapers, food, etc. and usually stays open later than other shops"
cake,noun,"1. a sweet food made from a mixture of flour, eggs, butter, sugar, etc. that is baked in an oven. Cakes are made in various shapes and sizes and are often decorated, for example with cream or icing. 2. a food mixture that is cooked in a round, flat shape"
call,verb,1. to give somebody/something a particular name; to use a particular name or title when you are talking to somebody 2. to phone somebody
call,noun,1. the act of speaking to somebody on the phone 2. a shout or loud sound made to attract attention
camera,noun,"1. a piece of equipment for taking photographs, moving pictures or television pictures. It can be a separate item or part of another device. 2. in a judge’s private room, without the press or the public being present"
can,verb,"1. used to say that it is possible for somebody/something to do something, or for something to happen 2. used to say that somebody knows how to do something"
cannot,verb,the negative of can; can not
capital,noun,"1. the most important town or city of a country or region, where the government operates from 2. a letter of the form and size that is used at the beginning of a sentence or a name (= A,B,C rather than a,b,c)"
capital,adjective,1. having the form and size used at the beginning of a sentence or a name 2. involving punishment by death
car,noun,1. a road vehicle with an engine and four wheels that can carry a small number of passengers 2. a separate section of a train
card,noun,"1. thick, stiff paper; a piece of this for writing on 2. a piece of stiff paper that is folded in the middle and has a picture on the front of it, used for sending somebody a message with your good wishes, an invitation, etc."
career,noun,"1. the series of jobs that a person has in a particular area of work, usually involving more responsibility as time passes 2. the period of time that you spend in your life working or doing a particular thing"
carrot,noun,1. a long pointed orange root vegetable 2. a reward promised to somebody in order to persuade them to do something
carry,verb,1. to support the weight of somebody/something and take them or it from place to place; to take somebody/something from one place to another 2. to have something with you and take it wherever you go
cat,noun,1. a small animal with soft fur that people often keep as a pet. Cats catch and kill birds and mice. 2. a wild animal of the cat family
cent,noun,"1. a coin and unit of money worth 1% of the main unit of money in many countries, for example of the US dollar or of the euro 2. to give your opinion about something, even if other people do not want to hear it"
center,noun,1. the middle point or part of something 2. the main part of a town or city where there are a lot of shops and offices
centre,noun,1. the middle point or part of something 2. the main part of a town or city where there are a lot of shops and offices
century,noun,1. a period of 100 years 2. any of the periods of 100 years before or after the birth of Christ
chair,noun,"1. a piece of furniture for one person to sit on, with a back, a seat and four legs 2. the position of being in charge of a meeting or committee; the person who holds this position"
change,noun,1. the act or result of something becoming different 2. the process of replacing something with something new or different; a thing that is used to replace something
change,verb,1. to become different 2. to make somebody/something different
chart,noun,"1. a diagram, lists of figures, etc. that shows information 2. a detailed map of the sea"
cheap,adjective,1. costing little money or less money than you expected 2. charging low prices
check,verb,"1. to examine something to see if it is correct, safe or acceptable 2. to look at something or ask somebody to find out if something/somebody is present, correct or true or if something is how you think it is"
cheese,noun,1. a type of food made from milk that can be either soft or hard and is usually white or yellow in colour; a particular type of this food 2. what you ask somebody to say before you take their photograph
chicken,noun,1. a large bird that is often kept for its eggs or meat 2. meat from a chicken
child,noun,1. a young human who is not yet an adult 2. a son or daughter of any age
chocolate,noun,"1. a hard brown sweet food made from cocoa beans, used in cooking to add taste to cakes, etc. or eaten as a sweet 2. a sweet that is made of or covered with chocolate"
choose,verb,1. to decide which thing or person you want out of the ones that are available 2. to prefer or decide to do something
cinema,noun,"1. a building in which films are shown 2. when you go to the cinema or to the movies, you go to a cinema to see a film"
city,noun,"1. a large and important town 2. a town that has been given special rights by a king or queen, usually one that has a cathedral"
class,noun,1. a group of students who are taught together 2. an occasion when a group of students meets to be taught
classmate,noun,a person who is or was in the same class as you at school or college
classroom,noun,a room where a class of children or students is taught
clean,verb,1. to remove the dirt or dust from something 2. to become clean
clean,adjective,1. not dirty 2. having a clean appearance and living in clean conditions
climb,verb,1. to go up something towards the top 2. to go up mountains or climb rocks as a hobby or sport
clock,noun,"1. an instrument for measuring and showing time, in a room, on the wall of a building or on a computer screen (not worn or carried like a watch) 2. the milometer in a vehicle (= an instrument that measures the number of miles the vehicle has travelled)"
close,verb,close (something) to put something into a position so that it covers an opening; to get into this position
clothes,noun,"1. the things that you wear, such as trousers, dresses and jackets 2. used to describe a situation in which everybody suddenly realizes that they were wrong to believe that somebody/something was very good, important, etc."
club,noun,1. an organization for people who share an interest or do a sport or activity together 2. the building or rooms that a particular club uses
coat,noun,1. a piece of outdoor clothing that is worn over other clothes to keep warm or dry. Coats have sleeves (= parts covering the arms) and may be long or short. 2. a jacket that is worn as part of a suit
coffee,noun,1. the roasted seeds (called coffee beans) of a tropical bush; a powder made from them 2. a hot drink made from coffee powder and boiling water. It may be drunk with milk and/or sugar added.
cold,adjective,1. having a lower than usual temperature; having a temperature lower than the human body 2. not heated; cooled after being cooked
cold,noun,"1. a common illness that affects the nose and/or throat, making you cough, sneeze, etc. 2. a lack of heat or warm air; a low temperature, especially in the atmosphere"
college,noun,1. (in the UK) a place where students go to study or to receive training after they have left school 2. (in the US) a university where students can study for a degree after they have left school
color,verb,"1. to put color on something using paint, colored pencils, etc. 2. to become red because the person is embarrassed "
color,noun,"1. the appearance that things have that results from the way in which they reflect light. Red, orange and green are colors. 2. the use of all the colors, not only black and white"
colour,noun,"1. the appearance that things have that results from the way in which they reflect light. Red, orange and green are colours. 2. the use of all the colours, not only black and white"
come,verb,1. to move to or towards a person or place 2. to arrive at or reach a place
common,adjective,1. happening often; existing in large numbers or in many places 2. shared by or belonging to two or more people or by the people in a group
company,noun,1. a business organization that makes money by producing or selling goods or services 2. a group of people who work or perform together
compare,verb,"1. to examine people or things to see how they are similar and how they are different 2. to be similar to somebody/something else, either better or worse"
complete,adjective,"1. including all the parts, etc. that are necessary; whole 2. finished"
complete,verb,1. to finish making or doing something 2. to write all the information you are asked for on a form
computer,noun,"an electronic machine that can store, organize and find information, do processes with numbers and other data, and control other machines"
concert,noun,1. a public performance of music 2. working together with somebody/something
conversation,noun,an informal talk involving a small group of people or only two; the activity of talking in this way
cook,verb,"1. to prepare food by heating it, for example by boiling, baking or frying it 2. to be prepared by boiling, baking, frying, etc."
cooking,noun,1. the process of preparing food by heating it 2. food that has been prepared in a particular way
cool,adjective,1. fairly cold; not hot or warm 2. helping you keep cool
correct,verb,"1. to make something right or accurate, for example by changing it or removing mistakes 2. to mark the mistakes in a piece of work (and sometimes give a mark to the work)"
correct,adjective,"1. accurate or true, without any mistakes  2. right and suitable, so that something is done as it should be done"
cost,noun,"1. the amount of money that you need in order to buy, make or do something 2. the total amount of money that needs to be spent by a business"
cost,verb,"1. if something costs a particular amount of money, you need to pay that amount in order to buy, make or do it 2. to cause the loss of something"
could,verb,1. used as the past tense of ‘can’ 2. used to ask if you can do something
countable,adjective,"a noun that is countable can be used in the plural and with a or an, for example table, cat and idea"
country,noun,"1. an area of land that has or used to have its own government and laws 2. any area outside towns and cities, with fields, woods, farms, etc."
course,noun,1. a series of lessons or lectures on a particular subject 2. a period of study at a college or university that leads to an exam or a qualification
cousin,noun,1. a child of your aunt or uncle 2. a person who is in your wider family but who is not closely related to you
cow,noun,"1. a large animal kept on farms to produce milk or beef 2. the female of the elephant, whale and some other large animals"
cream,noun,"1. the thick white or pale yellow fatty liquid that rises to the top of milk, used in cooking or as a type of sauce to put on fruit, etc. 2. a sweet that has a soft substance like cream inside"
create,verb,1. to make something happen or exist 2. to produce a particular feeling or impression
culture,noun,"1. the customs and beliefs, art, way of life and social organization of a particular country or group 2. a country, group, etc. with its own beliefs, etc."
cup,noun,"1. a small container that is like a bowl in shape, usually with a handle, used for drinking tea, coffee, etc. 2. the contents of a cup"
customer,noun,1. a person or an organization that buys goods or services from a shop or business 2. used after an adjective to describe a particular type of person
cut,verb,"1. to make an opening or a wound in something, especially with a sharp tool such as a knife or scissors 2. to divide something into two or more pieces with a knife, etc."
dad,noun,"1. father 2. financial support from your parents, especially when you are an adult"
dance,verb,1. to move your body to the sound and rhythm of music 2. to do a particular type of dance
dance,noun,"1. a series of movements and steps that are usually performed to music; a particular example of these movements and steps 2. the art of dancing, especially for entertainment"
dancer,noun,a person who dances or whose job is dancing
dancing,noun,moving your body to music
dangerous,adjective,"1. likely to injure or harm somebody, or to damage or destroy something 2. likely to cause problems or have a bad result"
dark,adjective,"1. with no or very little light, especially because it is night 2. not light; closer in shade to black than to white"
date,noun,"1. a particular day of the month, sometimes in a particular year, given in numbers and words 2. a particular day or year when a particular event happened or will happen"
daughter,noun,"1. a person’s female child 2. a woman who belongs to a particular place or country, etc."
day,noun,1. a period of 24 hours 2. the time between when it becomes light in the morning and when it becomes dark in the evening
dear,adjective,1. used at the beginning of a letter before the name or title of the person that you are writing to 2. loved by or important to somebody
decide,verb,1. to think carefully about the different possibilities that are available and choose one of them 2. to make an official or legal judgement
delicious,adjective,1. having a very pleasant taste or smell 2. extremely pleasant
describe,verb,1. to say what somebody/something is like 2. to make a movement that has a particular shape; to form a particular shape
description,noun,"1. a piece of writing or speech that says what somebody/something is like; the act of writing or saying in words what somebody/something is like 2. of some, etc. type"
design,noun,"1. the general arrangement of the different parts of something that is made, such as a building, book, machine, etc. 2. the art or process of deciding how something will look, work, etc. by drawing plans, making computer models, etc."
design,verb,"1. to decide how something will look, work, etc., by drawing plans, making computer models, etc. 2. to think of and plan a system, a way of doing something, etc., usually for a particular purpose or use"
desk,noun,"1. a piece of furniture like a table, often with drawers (= parts like boxes in it with handles on the front for pulling them open), that you sit at to read, write, work, etc. 2. a place where you can get information or be served at an airport, a hotel, etc."
detail,noun,"1. a small individual fact or item; a less important fact or item 2. the small facts or features of something, when you consider them all together"
dialogue,noun,"1. a conversation in a book, play or film or in language teaching materials 2. a formal discussion between two groups or countries, especially when they are trying to solve a problem, end a disagreement, etc."
dictionary,noun,"1. a book or electronic resource that gives a list of the words of a language in alphabetical order and explains what they mean, or gives a word for them in a foreign language 2. a book that explains the words that are used in a particular subject"
die,verb,1. to stop living 2. to stop existing; to disappear
diet,noun,1. the food and drink that you eat and drink regularly 2. a limited variety or amount of food that you eat for medical reasons or because you want to lose weight; a time when you only eat this limited variety or amount
difference,noun,1. the way in which two people or things are not like each other; the way in which somebody/something has changed 2. the amount that something is greater or smaller than something else
different,adjective,1. not the same as somebody/something; not like somebody/something else 2. separate and individual
difficult,adjective,1. not easy; needing effort or skill to do or to understand 2. full of problems; causing a lot of trouble
dining,,the activity of eating a meal
dinner,noun,"1. the main meal of the day, eaten either in the middle of the day or in the evening 2. a large formal social gathering at which dinner is eaten"
dirty,adjective,1. not clean 2. connected with sex in an offensive way
discuss,verb,"1. to talk about something with somebody, especially in order to decide something 2. to write or talk about something in detail, showing the different ideas and opinions about it"
dish,noun,"1. a flat shallow container for cooking food in or serving it from 2. the plates, bowls, cups, etc. that have been used for a meal and need to be washed"
do,verb,ditto
doctor,noun,"1. a person who has been trained in medical science, whose job is to treat people who are ill or injured 2. a place where a doctor sees patients"
dog,noun,"1. an animal with four legs and a tail, often kept as a pet or trained for work, for example hunting or guarding buildings. There are many types of dog, some of which are wild. 2. a male dog, fox, wolf or otter"
dollar,noun,"1. the unit of money in the US, Canada, Australia and several other countries 2. the value of the US dollar compared with the value of the money of other countries"
door,noun,"1. a piece of wood, glass, etc. that is opened and closed so that people can get in and out of a room, building, car, etc.; a similar thing in a cupboard 2. the space when a door is open"
down,adverb,1. to or at a lower place or position 2. from a standing position to a sitting or lying position
down,preposition,1. from a high or higher point on something to a lower one 2. along; towards the direction in which you are facing
downstairs,adverb,"down the stairs; on or to a floor of a house or building lower than the one you are on, especially the one at ground level"
downstairs,noun,"the lower floor of a house or building, especially the one at ground level"
draw,verb,"1. to make pictures, or a picture of something, with a pencil, pen or chalk (but not paint) 2. to describe something in words in a way that produces an image in somebody's mind"
dress,verb,1. to put clothes on yourself/somebody 2. to wear a particular type or style of clothes
dress,noun,"1. a piece of clothing that is made in one piece and hangs down to cover the body as far as the legs, sometimes reaching to below the knees, or to the ankles 2. clothes of a particular type"
drink,noun,1. a liquid for drinking; an amount of a liquid that you drink 2. alcohol or an alcoholic drink; something that you drink on a social occasion
drink,verb,"1. to take liquid into your mouth and then down your throat into your stomach 2. to drink alcohol, especially when it is done regularly"
drive,verb,"1. to operate a vehicle so that it goes in a particular direction 2. to take somebody somewhere in a car, taxi, etc."
driver,noun,"1. a person who drives a vehicle 2. a club with a large head, used for hitting the ball long distances from the tee"
during,preposition,1. all through a period of time 2. at some point in a period of time
each,adverb,"1. used to refer to every one of two or more people or things, when you are thinking about them separately 2. every single one"
ear,noun,1. either of the organs on the sides of the head that you hear with 2. having the type of ears mentioned
early,adjective,"1. near the beginning of a period of time, an event etc. 2. arriving, or done before the usual, expected or planned time"
early,adverb,"1. near the beginning of a period of time, an event, a piece of work, etc. 2. before the usual, expected or planned time"
east,noun,"1. the direction that you look towards to see the sun rise; one of the four main points of the compass 2. the eastern part of a country, region or city"
east,adjective,1. in or towards the east 2. an east wind blows from the east
east,adverb,1. towards the east 2. nearer to the east than something
easy,adjective,"1. not difficult; done or obtained without a lot of effort or problems 2. comfortable, relaxed and not worried"
eat,verb,"1. to put food in your mouth, bite it and swallow it  2. to have a meal"
eating,noun,1. the act of eating something 2. you can only judge if something is good or bad when you have tried it
egg,noun,"1. a small oval object with a thin hard shell produced by a female bird and containing a young bird; a similar object (without a hard shell) produced by a female fish, insect, etc. 2. a bird’s egg, especially one from a chicken, that is eaten as food"
eight,,8
eighteen,,18
eighty,,80
elephant,noun,"1. a very large animal with thick grey skin, large ears, two curved outer teeth called tusks and a long nose called a trunk. There are two types of elephant, the African and the Asian. 2. a problem or question that everyone knows about but does not mention because it is easier not to discuss it"
eleven,,11
else,adverb,1. in addition to something already mentioned 2. different
email,noun,1. a way of sending messages and data to other people by means of computers connected together in a network 2. a message sent by email
