english,tag,definition
colleague,noun,"a person that you work with, especially in a profession or a business"
collect,verb,using a system in which a phone call is paid for by the person who receives it
collocation,noun,"1. a combination of words in a language that happens very often and more frequently than would happen by chance 2. the fact of two or more words often being used together, in a way that happens more frequently than would happen by chance"
color,noun,"1. the appearance that things have that results from the way in which they reflect light. Red, orange and green are colors. 2. the use of all the colors, not only black and white"
colour,noun,"1. the appearance that things have that results from the way in which they reflect light. Red, orange and green are colours. 2. the use of all the colours, not only black and white"
column,noun,1. one of the straight sections from top to bottom into which text on a page or screen is divided 2. a series of numbers or words arranged one under the other down a page
comedy,noun,"1. a play, film or TV show that is intended to be funny, usually with a happy ending; plays, films and TV shows of this type 2. professional entertainment with jokes, short acts, etc. that is intended to be funny"
comfortable,adjective,"1. making you feel physically relaxed; pleasant to wear, sit on, etc. 2. feeling physically relaxed in a pleasant way; warm enough, without pain, etc."
comma,noun,"the mark ( , ) used to separate the items in a list or to show where there is a slight break in a sentence"
comment,noun,1. something that you say or write that gives an opinion on or explains somebody/something 2. criticism that shows the faults of something
communicate,verb,"1. to share or exchange information, news, ideas, feelings, etc. 2. to have a good relationship because you are able to understand and talk about your own and other people’s thoughts, feelings, etc."
community,noun,"1. all the people who live in a particular area, country, etc. when talked about as a group 2. a group of people who share the same religion, race, job, etc."
comparative,noun,"the form of an adjective or adverb that expresses more in amount, degree or quality"
comparative,adjective,1. measured or judged by how similar or different it is to something else 2. connected with studying things to find out how similar or different they are
compete,verb,1. to take part in a contest or game 2. to try to be more successful or better than somebody else who is trying to do the same as you
competition,noun,1. an event in which people compete with each other to find out who is the best at something 2. a situation in which people or organizations compete with each other for something that not everyone can have
complain,verb,"to say that you are annoyed, unhappy or not satisfied about somebody/something"
completely,adverb,in every way possible; in every part
comprehension,noun,1. the ability to understand 2. an exercise that trains students to understand a language
computer,noun,"an electronic machine that can store, organize and find information, do processes with numbers and other data, and control other machines"
condition,noun,1. the state that something is in 2. the state of somebody’s health or how fit they are
conditional,adjective,1. depending on something 2. expressing something that must happen or be true if another thing is to happen or be true
conditional,noun,"1. a sentence or clause that begins with if or unless and expresses a condition 2. the form of a verb that expresses a conditional action, for example should in If I should die…"
conference,noun,"1. a large official meeting, usually lasting for a few days, at which people with the same work or interests come together to discuss their views 2. a meeting at which people have formal discussions"
congratulation,noun,1. a message congratulating somebody (= saying that you are happy about their good luck or success) 2. used when you want to congratulate somebody
connect,verb,"1. to join together two or more things; to be joined together 2. to join something to the main supply of electricity, gas, water, etc. or to another piece of equipment"
connected,adjective,(of two or more things or people) having a link between them
consider,verb,"1. to think about something carefully, especially in order to make a decision 2. to think of somebody/something in a particular way"
consonant,noun,"1. a speech sound made by completely or partly stopping the flow of air through the mouth or nose 2. a letter of the alphabet that represents a consonant sound, for example ‘b’, ‘c’, ‘d’, ‘f’, etc."
contain,verb,"1. if something contains something else, it has that thing inside it or as part of it 2. to keep your feelings under control"
context,noun,"1. the situation in which something happens and that helps you to understand it 2. the words that come just before and after a word, phrase or statement and help you to understand its meaning"
continent,noun,"1. one of the large land masses of the earth such as Europe, Asia or Africa 2. the main part of the continent of Europe, not including Britain or Ireland"
continue,verb,1. to keep existing or happening without stopping 2. to keep doing something without stopping
control,verb,"1. to have power over a person, company, country, etc. so that you are able to decide what they must do or how it is run 2. to limit something or make it happen in a particular way"
control,noun,"1. the power to make decisions about how a country, an area, an organization, etc. is run 2. the ability to make somebody/something do what you want"
cook,noun,"1. a person who cooks food or whose job is cooking 2. if too many people are involved in doing something, it will not be done well"
cooker,noun,"a large piece of equipment for cooking food, containing an oven and gas or electric rings on top"
