english,tag,definition
abandon,verb,"1. to leave somebody, especially somebody you are responsible for, with no intention of returning 2. to leave a thing or place, especially because it is impossible or dangerous to stay"
abandoned,adjective,"1. left and no longer wanted, used or needed 2. (of people or their behaviour) wild; not following accepted standards"
abbey,noun,a large church together with a group of buildings in which monks or nuns live or lived in the past
absolute,adjective,"1. total and complete 2. used, especially in spoken English, to give emphasis to what you are saying"
absorb,verb,"1. to take in a liquid, gas or other substance from the surface or space around 2. to take in and keep heat, light, energy, sound, etc. instead of reflecting it"
abstract,adjective,"1. based on general ideas and not on any particular real person, thing or situation 2. existing in thought or as an idea but not having a physical reality 3. not representing people or things in a realistic way, but expressing the artist’s ideas about them"
academic,noun,a person who teaches and/or does research at a university or college
accent,noun,"1. a way of pronouncing the words of a language that shows which country, area or social class a person comes from; how well somebody pronounces a particular language 2. the emphasis that you should give to part of a word when saying it"
acceptable,adjective,1. agreed or approved of by most people in a society 2. that somebody agrees is of a good enough standard or allowed 3. not very good but good enough
acceptably,adverb,1. in a way that somebody agrees is of a good enough standard or allowed 2. in a way that is agreed or approved of by most people in a society
accidentally,adverb,by chance; in a way that was not planned
accommodate,verb,"1. to provide somebody with a room or place to sleep, live or sit 2. to provide enough space for somebody/something"
accompany,verb,"1. to travel or go somewhere with somebody/something 2. to happen or appear with something else 3. to play a musical instrument, especially a piano, while somebody else sings or plays the main tune"
accomplish,verb,to succeed in doing or completing something
account,verb,1. to have the opinion that somebody/something is a particular thing 2. used to say how difficult it is to understand why somebody likes somebody/something that you do not like at all
accountant,noun,a person whose job is to keep or check financial accounts
accounting,noun,the process or work of keeping financial accounts
accuracy,noun,"1. the state of being exact or correct; the ability to do something with skill and without making mistakes 2. the degree to which a measurement, calculation, etc. is exact or correct"
accurate,adjective,"1. correct and true in every detail 2. able to give completely correct information or to do something in an exact way 3. an accurate throw, shot, weapon, etc. hits or reaches the thing that it was aimed at"
accurately,adverb,1. in a way that is correct and true in every detail 2. in an exact way 3. hitting or reaching the thing that was aimed at
accuse,verb,to say that somebody has done something wrong or is guilty of something
acid,noun,"1. a chemical, usually a liquid, that contains hydrogen and has a pH of less than seven. The hydrogen can be replaced by a metal to form a salt. Acids usually have a bitter sharp taste and can often burn holes in or damage things they touch. 2. a powerful illegal drug that affects people’s minds and makes them see and hear things that are not really there"
acknowledge,verb,1. to accept that something is true 2. to accept that somebody/something has a particular authority or status
acquaintance,noun,1. a person that you know but who is not a close friend 2. slight friendship
acquire,verb,"1. to gain something by your own efforts, ability or behaviour 2. to obtain something by buying or being given it 3. a thing that you do not like much at first but gradually learn to like"
acting,adjective,doing the work of another person for a short time
action,noun,1. the process of doing something in order to make something happen or to deal with a situation 2. a thing that somebody does
activate,verb,to make something such as a device or chemical process start working
actual,adjective,1. used to emphasize something that is real or exists in fact 2. used to emphasize the most important part of something
acupuncture,noun,a method of treating pain and illness using special thin needles that are pushed into the skin in particular parts of the body
adapt,verb,"1. to change your behaviour in order to deal more successfully with a new situation 2. to change something in order to make it suitable for a new use or situation 3. to change a book or play so that it can be made into a play, film, television drama, etc."
addicted,adjective,"unable to stop using or doing something as a habit, especially something harmful"
addiction,noun,"the condition of being unable to stop using or doing something as a habit, especially something harmful"
additional,adjective,more than was first mentioned or is usual
additionally,adverb,in a way that is more than was first mentioned or is usual
address,verb,"1. to think about a problem or a situation and decide how you are going to deal with it 2. to write on an envelope, etc. the name and address of the person, company, etc. that you are sending it to by mail"
adequate,adjective,"enough in quantity, or good enough in quality, for a particular purpose or need"
adequately,adverb,"in a way that is enough in quantity, or good enough in quality, for a particular purpose or need"
adjust,verb,1. to change something slightly to make it more suitable for a new set of conditions or to make it work better 2. to get used to a new situation by changing the way you behave and/or think
administration,noun,"1. the activities that are done in order to plan, organize and run a business, school or other institution 2. the government of a country, especially the US"
adolescent,adjective,in or relating to the process of developing from a child into an adult
adopt,verb,1. to take somebody else’s child into your family and become its legal parent(s) 2. to start to use a particular method or to show a particular attitude towards somebody/something
adore,verb,1. to love somebody very much 2. to like something very much
adulthood,noun,the state of being an adult
advance,verb,"1. if knowledge, technology, etc. advances, it develops and improves 2. to move forward towards somebody/something, often in order to attack or threaten them or it"
advance,adjective,"1. done or given before something is going to happen 2. a group of people who go somewhere first, before the main group"
advance,noun,"1. progress or a development in a particular activity or area of understanding 2. the forward movement of a group of people, especially armed forces"
adventurous,adjective,"1. willing to take risks and try new ideas; enjoying being in new, exciting situations 2. including new and interesting things, methods and ideas 3. full of new, exciting or dangerous experiences"
aerobics,noun,"physical exercises intended to make the heart and lungs stronger, often done in classes, with music"
affair,noun,1. events that are of public interest or political importance 2. an event that people are talking about or describing in a particular way
affordable,adjective,cheap enough that people can afford to pay it or buy it
afterwards,adverb,at a later time; after an event that has already been mentioned
agency,noun,1. a business or an organization that provides a particular service especially when representing other businesses or organizations 2. a government department that provides a particular service 3. as a result of the action of somebody/something
agenda,noun,"1. a list of items to be discussed at a meeting 2. a plan of things to be done, or problems to be addressed  3. the intention behind what somebody says or does, that is often secret"
aggressive,adjective,"1. angry, and behaving in a threatening way; ready to attack 2. determined and acting with force in order to succeed"
aggressively,adverb,1. in a way that is angry and threatening 2. in a way that shows force and that is determined to succeed
agree,verb,1. to have the same opinion as somebody; to say that you have the same opinion 2. to approve of something because you think it is morally right
agreed,adjective,"1. discussed and accepted by everyone 2. if people are agreed or something is agreed, everyone has the same opinion about something"
agriculture,noun,the science or practice of farming
aid,noun,"1. money, food, etc. that is sent to help countries in difficult situations 2. help that you need, especially to perform a particular task"
aid,verb,"1. to help somebody/something to do something, especially by making it easier 2. to help or encourage something to happen 3. to help somebody to do something illegal or wrong"
air-conditioned,adjective,having a system that cools and dries the air inside it
aircraft,noun,any vehicle that can fly and carry goods or passengers
airless,adjective,"not having any fresh or moving air or wind, and therefore unpleasant"
airspeed,noun,the speed of an aircraft relative to the air through which it is moving
aisle,noun,"1. a passage between rows of seats in a church, theatre, train, etc., or between rows of shelves in a supermarket 2. to get married"
alarm,verb,1. to make somebody anxious or afraid 2. to fit something such as a door with a device that warns people when somebody is trying to enter illegally
alarmed,adjective,1. anxious or afraid that something dangerous or unpleasant might happen 2. protected by an alarm 
alien,noun,1. a person who is not a citizen of the country in which they live or work 2. a creature from another world
allergic,adjective,1. having an allergy to something 2. caused by an allergy 3. having a strong dislike of something/somebody
allergy,noun,a medical condition that causes you to react badly or feel ill when you eat or touch a particular substance
alongside,preposition,1. next to or at the side of something 2. together with or at the same time as something/somebody
alter,verb,1. to become different; to make somebody/something different 2. to make changes to a piece of clothing so that it will fit you better
alternatively,adverb,used to introduce a suggestion that is a second choice or possibility
altogether,adverb,1. (used to emphasize something) completely; in every way 2. used to give a total number or amount 3. used to introduce a summary when you have mentioned a number of different things
amazement,noun,a feeling of great surprise
ambulance,noun,"a vehicle with special equipment, used for taking sick or injured people to a hospital"
amusement,noun,"1. the feeling that you have when you enjoy something that is funny 2. a game, an activity, etc. that provides entertainment and pleasure 3. the fact of being entertained by something"
amusing,adjective,funny and giving pleasure
analyst,noun,1. a person whose job involves examining facts or materials in order to give an opinion on them 2. a person who treats patients using psychoanalysis
ancestor,noun,1. a person in your family who lived a long time ago 2. an animal that lived in the past that a modern animal has developed from 3. an early form of a machine that later became more developed
anecdote,noun,"1. a short, interesting or funny story about a real person or event 2. a personal account of an event"
anger,noun,the strong feeling that you have when something has happened that you think is bad and unfair
anger,verb,to make somebody angry
angle,noun,"1. the space between two lines or surfaces that join, measured in degrees 2. a corner on the outside or inside of something"
animated,adjective,1. full of interest and energy 2. made to look as if they are moving
animation,noun,"1. the process of making films, videos and computer games in which drawings, models or images of people and animals seem to move 2. a film in which drawings, models or images of people and animals seem to move 3. energy and enthusiasm in the way you look, behave or speak"
anniversary,noun,a date that is an exact number of years after the date of an important or special event
announcer,noun,"1. a person who introduces, or gives information about, programmes on the radio or television 2. a person who gives information about something in a station, an airport, etc., especially through a loudspeaker 3. a person who broadcasts at a sports event"
annual,adjective,1. happening or done once every year 2. relating to a period of one year
annually,adverb,once a year
antibiotic,noun,"a substance, for example penicillin, that can destroy or prevent the growth of bacteria and cure infections"
anticipate,verb,1. to expect something 2. to see what might happen in the future and take action to prepare for it
antique,noun,an object such as a piece of furniture that is old and often valuable
anxiety,noun,1. the state of feeling nervous or worried that something bad is going to happen 2. a mental illness that causes somebody to worry so much that it has a very negative effect on their daily life
anxious,adjective,1. feeling worried or nervous 2. causing worry; showing worry 3. wanting something very much
ape,noun,"1. a large animal like a monkey, with no tail. There are different types of ape. 2. to become extremely angry or excited"
apology,noun,"1. a word or statement saying sorry for something that has been done wrong or that causes a problem 2. information that you cannot go to a meeting or must leave early 3. if you say that you make no apology/apologies for something, you mean that you do not feel that you have said or done anything wrong"
apparent,adjective,1. easy to see or understand 2. that seems to be real or true but may not be
apparently,adverb,according to what you have heard or read; according to the way something appears
appeal,noun,"1. a deeply felt request for money, help or information that is needed immediately, especially one made by a charity or by the police 2. a quality that makes somebody/something attractive or interesting"
appeal,verb,"1. to make a deeply felt request, especially for something that is needed immediately 2. to attract or interest somebody"
appear,verb,1. to start to be seen 2. to begin to exist or be known or used for the first time
appliance,noun,"a machine that is designed to do a particular thing in the home, such as preparing food, heating or cleaning"
applicant,noun,"a person who makes a formal request for something (= applies for it), especially for a job, a place at a college or university, etc."
apprentice,noun,a young person who works for an employer for a fixed period of time in order to learn the particular skills needed in their job
approach,verb,"1. to come near to somebody/something in distance or time 2. to speak to somebody about something, especially to ask them for something or to offer to do something"
approach,noun,1. a way of dealing with somebody/something; a way of doing or thinking about something such as a problem or a task 2. movement nearer to somebody/something in distance or time
appropriate,adjective,"suitable, acceptable or correct for the particular circumstances"
appropriately,adverb,"in a way that is suitable, acceptable or correct for the particular circumstances"
approval,noun,"1. the feeling that somebody/something is good or acceptable; a positive opinion of somebody/something 2. agreement to, or permission for something, especially a plan or request 3. if you buy goods or if goods are sold on approval, you can use them for a time without paying, until you decide if you want to buy them or not"
approve,verb,"1. to think that somebody/something is good, acceptable or suitable 2. to officially agree to a plan, request, etc. 3. to say that something is good enough to be used or is correct"
apron,noun,"1. a piece of clothing worn over the front of the body, from the chest or the waist down, and tied around the waist. Aprons are worn over other clothes to keep them clean, for example when cooking. 2. an area with a hard surface at an airport, where aircraft are turned around, loaded, etc."
archaeological,adjective,connected with the study of cultures of the past and of periods of history by examining the parts of buildings and objects found in the ground
archaeologist,noun,a person who studies archaeology
archaeology,noun,"the study of cultures of the past, and of periods of history by examining the parts of buildings and objects found in the ground"
archeologist,noun,a person who studies archeology
arise,verb,1. to happen; to start to exist 2. to happen as a result of a particular situation
armed,adjective,"1. involving the use of weapons 2. carrying a weapon, especially a gun"
arms,noun,"1. weapons, especially as used by the army, navy, etc. 2. a design or a shield that is a special symbol of a family, city or other organization"
arrangement,noun,1. a plan or preparation that you make so that something can happen 2. the way things are done or organized
arrogant,adjective,"behaving in a proud, unpleasant way, showing little thought for other people"
arrow,noun,"1. a thin stick with a sharp point at one end, which is shot from a bow 2. a mark or sign like an arrow (➞), used to show direction or position"
art,noun,"1. the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture  2. examples of objects such as paintings, drawings or sculptures"
artificial,adjective,1. made or produced to copy something natural; not real 2. created by people; not happening naturally 3. not what it appears to be
artist,noun,"1. a person who creates works of art, especially paintings or drawings 2. a person who is a professional singer, dancer, actor, etc."
artistic,adjective,"1. connected with art or artists 2. showing a natural skill or pleasure in art, especially being able to paint or draw well"
artwork,noun,"1. pictures and photographs prepared for books, magazines, etc. 2. a work of art, especially one in a museum; works of art as a group"
ashamed,adjective,1. feeling shame or feeling embarrassed about somebody/something or because of something you have done 2. unwilling to do something because of shame or fear of feeling embarrassed
aside,adverb,"1. to one side; out of the way 2. to be used later 3. used to say that except for one thing, something is true"
aspect,noun,"1. a particular part or feature of a situation, an idea, a problem, etc.; a way in which it may be considered 2. the appearance of a place, a situation or a person"
aspirin,noun,"a drug used to reduce pain, high temperature and inflammation"
assess,verb,1. to make a judgement about the nature or quality of somebody/something 2. to calculate the amount or value of something
assessment,noun,1. an opinion or a judgement about somebody/something that has been thought about very carefully 2. the act of judging or forming an opinion about somebody/something
asset,noun,"1. a person or thing that is valuable or useful to somebody/something 2. a thing of value, especially property, that a person or company owns, which can be used or sold to pay debts"
assign,verb,"1. to give somebody something that they can use, or some work or responsibility 2. to provide a person for a particular task or position"
assistance,noun,help or support
assistant,noun,"1. a person who helps or supports somebody, usually in their job 2. a person whose job is to serve customers in a shop 3. a student at university or college who spends time in a foreign country teaching his or her own language in a school"
associate,verb,"1. to make a connection between people or things in your mind 2. to spend time with somebody, especially a person or people that somebody else does not approve of 3. to show that you support or agree with something"
associated,adjective,"1. if one thing is associated with another, the two things are connected because they happen together or one thing causes the other 2. if a person is associated with an organization, etc. they support it 3. used in the name of a business company that is made up of a number of smaller companies"
association,noun,1. an official group of people who have joined together for a particular purpose 2. a connection or relationship between people or organizations
assume,verb,1. to think or accept that something is true but without having proof of it 2. to take or begin to have power or responsibility
assumption,noun,"1. a belief or feeling that something is true or that something will happen, although there is no proof 2. the act of taking or beginning to have power or responsibility"
assure,verb,"1. to tell somebody that something is definitely true or is definitely going to happen, especially when they have doubts about it 2. to make yourself certain about something"
asteroid,noun,any one of the many small planets that go around the sun
astonish,verb,to surprise somebody very much
astonished,adjective,very surprised
astonishing,adjective,very surprising; difficult to believe
astronomer,noun,a scientist who studies astronomy
astronomy,noun,"the scientific study of the sun, moon, stars, planets, etc."
at-risk,adjective,in danger of being attacked or harmed
atom,noun,the smallest particle of a chemical element that can exist
attachment,noun,1. a document that you send to somebody using email 2. the act of joining one thing to another; a thing that joins two things together
attack,verb,"1. to use violence to try to hurt or kill somebody 2. to use weapons, such as guns and bombs against an enemy in a war, etc."
attack,noun,"1. an act of using violence to try to hurt or kill somebody 2. an act of trying to kill or injure the enemy in war, using weapons such as guns and bombs"
attempt,verb,"to make an effort or try to do something, especially something difficult"
attempt,noun,"1. an act of trying to do something, especially something difficult, often with no success 2. an act of trying to kill somebody"
attempted,adjective,that somebody has tried to do but without success
attic,noun,"a room or space just below the roof of a house, often used for storing things"
auction,noun,a public sale in which things are sold to the person who offers the most money for them
auction,verb,to sell something at an auction
audio,adjective,connected with sound that is recorded
author,verb,"to be the author of a book, report, etc."
autobiography,noun,"the story of a person’s life, written by that person; this type of writing"
automatic,adjective,1. having controls that work without needing a person to operate them 2. done or happening without thinking 3. always happening as a result of a particular action or situation
automatically,adverb,1. without needing a person to operate controls 2. without thinking 3. in a way that always happens as a result of a particular action or situation
automobile,noun,a car
avalanche,noun,"a mass of snow, ice and rock that falls down the side of a mountain"
avatar,noun,"1. (in Hinduism and Buddhism) a god appearing in a physical form 2. a picture of a person or an animal that represents a particular computer user, on a computer screen, especially in a computer game or on social media"
awareness,noun,1. knowing something; knowing that something exists and is important 2. interest in and concern about a particular situation or area of interest
away,adjective,played or scored at the opponent’s ground or stadium
away,adverb,1. to or at a distance from somebody/something in space or time 2. to a different place or in a different direction
awkward,adjective,1. making you feel embarrassed 2. difficult to deal with
babysit,verb,to take care of babies or children for a short time while their parents are out
babysitter,noun,a person who takes care of babies or children while their parents are away from home and is usually paid to do this
babysitting,noun,the job or activity of taking care of babies or children for a short time while their parents are out
back,verb,"1. to or into the place, condition, situation or activity where somebody/something was before 2. away from the front or centre; behind you"
backpack,verb,to travel on holiday carrying your equipment and clothes in a backpack
backyard,noun,"1. the whole area behind and belonging to a house, including an area of grass and the garden 2. an area with a hard surface behind a house, often surrounded by a wall 3. in or near the place where you live or work"
bacteria,noun,"the simplest and smallest forms of life. Bacteria exist in large numbers in air, water and soil, and also in living and dead creatures and plants, and are often a cause of disease."
badge,noun,"1. a small piece of metal or plastic, with a design or words on it, that a person wears or carries to show that they belong to an organization, support something, have achieved something, have a particular rank, etc. 2. a piece of material that you sew onto clothes as part of a uniform 3. a symbol of a particular quality or status"
badness,noun,the fact of being morally bad
bag,noun,"1. a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling 2. a bag or case that you take when you are travelling; a piece of luggage"
bagel,noun,a hard bread roll in the shape of a ring
baguette,noun,1. a loaf of white bread in the shape of a long thick stick 2. a small baguette or part of one that is filled with food and eaten as a sandwich
bakery,noun,a place where bread and cakes are made and/or sold
bakeshop,noun,a place where bread and cakes are made and/or sold
balanced,adjective,keeping or showing a balance so that different things or different parts of something exist in equal or correct amounts
bald,adjective,"1. having little or no hair on the head 2. without any of the usual hair, marks, etc. covering the skin or surface of something"
ball,noun,"1. a round object used for throwing, hitting or kicking in games and sports 2. a round object or a thing that has been formed into a round shape"
ballet,noun,1. a style of dancing that tells a dramatic story with music but no talking or singing 2. a story or work of art performed by a group of ballet dancers 3. a group of dancers who work and perform ballet together
balloon,noun,"1. a small bag made of very thin rubber that becomes larger and rounder when you fill it with air or gas. Balloons are brightly coloured and used as decorations or toys. 2. a large balloon made of strong material that is filled with hot air or gas to make it rise in the air, usually carrying a basket for passengers"
ballpark,noun,1. a place where baseball is played 2. an area or a range within which an amount is likely to be correct or within which something can be measured
band,noun,"1. a small group of musicians who play popular music together, often with a singer or singers 2. a group of musicians who play brass and percussion instruments"
bandage,verb,to wrap a bandage around a part of the body in order to protect it because it is injured
bandage,noun,a long narrow piece of cloth used for tying around a part of the body that has been hurt in order to protect or support it
bang,verb,1. to hit something in a way that makes a loud noise 2. to close something or to be closed with a loud noise
bank,verb,1. to put money into a bank account 2. to have an account with a particular bank
banker,noun,1. a person who owns a bank or has an important job at a bank 2. a person who is in charge of the money in particular games
bar,verb,1. to ban or prevent somebody from doing something 2. to close something with a bar or bars
barber,noun,1. a person whose job is to cut men’s hair and sometimes to shave them 2. a shop where men can have their hair cut
barely,adverb,1. in a way that is just possible but only with difficulty 2. in a way that almost does not happen or exist
bargain,noun,"1. a thing bought for less than the usual price 2. an agreement between two or more people or groups, to do something for each other"
barman,noun,"a man who works in a bar, serving drinks"
barrier,noun,1. an object like a fence that prevents people from moving forward from one place to another 2. a gate at a car park or railway station that controls when you may go through by being raised or lowered
basement,noun,"a room or rooms in a building, partly or completely below the level of the ground"
basically,adverb,"1. in the most important ways, without considering things that are less important 2. used when you are giving your opinion or stating what is important about a situation"
basket,noun,"1. a container for holding or carrying things. Baskets are made of long thin pieces of material that bends and twists easily, for example plastic, wire or wicker. 2. the amount contained in a basket"
bat,noun,"1. a piece of wood with a handle, made in various shapes and sizes, and used for hitting the ball in games such as baseball, cricket and table tennis 2. an animal like a mouse with wings that flies and feeds at night (= it is nocturnal). There are many types of bat."
bathrobe,noun,"1. a loose piece of clothing worn before and after taking a bath 2. a long loose piece of clothing, usually with a belt, worn indoors over night clothes, for example when you first get out of bed"
battle,verb,to try very hard to achieve something difficult or to deal with something unpleasant or dangerous
beak,noun,"1. the hard pointed or curved outer part of a bird’s mouth 2. a person’s nose, especially when it is large and/or pointed 3. a person in a position of authority, especially a judge"
bear,verb,1. to be able to accept and deal with something unpleasant 2. to take responsibility for something
bear,noun,"1. a heavy wild animal with thick fur and sharp claws (= pointed parts on the ends of its feet). There are many types of bear. 2. a person who sells shares in a company, etc., hoping to buy them back later at a lower price 3. in a bad mood; in an angry way"
beat,verb,1. to defeat somebody in a game or competition 2. to do or be better than something
beat,noun,"1. a single hit to something, such as a drum, or a movement of something, such as your heart; the sound that this makes 2. a series of regular hits to something, such as a drum; the sound that this makes"
bed,noun,"1. a piece of furniture for sleeping on 2. the bottom of a river, the sea, etc."
beefsteak,noun,a thick slice of good quality beef
beg,verb,"1. to ask somebody for something especially in an anxious way because you want or need it very much 2. to ask somebody for money, food, etc., especially in the street"
beggar,noun,1. a person who lives by asking people for money or food 2. used with an adjective to describe somebody in a particular way
being,noun,1. existence 2. a living creature 3. your mind and all of your feelings
believable,adjective,that can be believed
believer,noun,"1. a person who believes in the existence or truth of something, especially somebody who believes in a god or religious faith 2. to believe strongly that something is good, important or valuable"
belt,noun,"1. a long narrow piece of leather, cloth, etc. that you wear around the middle part of your body 2. a continuous band of material that moves round and is used to carry things along or to drive a machine"
beneficial,adjective,improving a situation; having a helpful or useful effect
benefit,noun,"1. an advantage that something gives you; a helpful and useful effect that something has 2. money provided by the government to people who need financial help because they are unemployed, ill, etc."
bent,adjective,"1. not straight 2. not able to stand up straight, usually as a result of being old or ill"
beside,preposition,1. next to or at the side of somebody/something 2. compared with somebody/something
besides,adverb,1. used for making an extra comment that adds to what you have just said 2. in addition; also
besides,preposition,in addition to somebody/something; apart from somebody/something
bestseller,noun,"a product, usually a book, which is bought by large numbers of people"
bet,noun,"1. an arrangement to risk money, etc. on the result of a particular event; the money that you risk in this way 2. an opinion about what is likely to happen or to have happened"
bet,verb,1. to risk money on a race or an event by trying to predict the result 2. used to say that you are almost certain that something is true or that something will happen
betting,noun,"1. the act of risking money, etc. on the unknown result of an event 2. it seems likely that…"
beyond,preposition,1. on or to the further side of something 2. more than something
beyond,adverb,1. on the other side; further on 2. (to do) even more than is expected or demanded
bias,noun,"1. a strong feeling in favour of or against one group of people, or one side in an argument, often not based on fair judgement 2. an interest in one thing more than others; a special ability"
biased,adjective,1. tending to show favour towards or against one group of people or one opinion for personal reasons; making unfair judgements 2. having a particular interest in one thing more than others
bid,noun,"1. an offer by a person or a company to pay a particular amount of money for something 2. bid (on something) an offer to do work or provide a service for a particular price, in competition with other companies, etc."
bid,verb,"1. to offer to pay a particular price for something, especially at an auction 2. to offer to do work or provide a service for a particular price, in competition with other companies, etc."
big,adjective,"1. large in size, degree, amount, etc. 2. older"
biker,noun,"1. a person who rides a motorcycle, often as a member of a large group 2. a person who rides a bicycle, especially a mountain bike"
biking,noun,the sport or activity of riding a bicycle or motorcycle
bikini,noun,a piece of clothing in two pieces worn for swimming and lying in the sun
bill,noun,1. a document that shows how much you owe somebody for goods or services 2. a piece of paper that shows how much you have to pay for the food and drinks that you have had in a restaurant
bill,verb,1. to send somebody a bill for something 2. to advertise or describe somebody/something in a particular way
